[2026-08-05 11:48:35] [INFO] Script started. Parameter set: Rollback
[2026-08-05 11:48:35] [INFO] Rollback requested. Using manifest: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\Manifests\cleanup-manifest-20260805-114153-494-6276.json
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Users_labuser_AppData_Local_Temp\12765a45-7a85-4c03-a725-31a8d4ebe6ef.tmp -> C:\Users\labuser\AppData\Local\Temp\2\12765a45-7a85-4c03-a725-31a8d4ebe6ef.tmp
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Users_labuser_AppData_Local_Temp\7145f1b8-bcef-4634-a6bc-074e867f42e9.tmp -> C:\Users\labuser\AppData\Local\Temp\2\7145f1b8-bcef-4634-a6bc-074e867f42e9.tmp
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Users_labuser_AppData_Local_Temp\exthost-abea07.cpuprofile -> C:\Users\labuser\AppData\Local\Temp\2\exthost-abea07.cpuprofile
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Users_labuser_AppData_Local_Temp\locked.log -> C:\Users\labuser\AppData\Local\Temp\2\dwp-temp-cleanup-test\locked.log
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Users_labuser_AppData_Local_Temp\new.log -> C:\Users\labuser\AppData\Local\Temp\2\dwp-temp-cleanup-test\new.log
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Users_labuser_AppData_Local_Temp\old.log -> C:\Users\labuser\AppData\Local\Temp\2\dwp-temp-cleanup-test\old.log
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Users_labuser_AppData_Local_Temp\dicts.dat -> C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\dicts.dat
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Users_labuser_AppData_Local_Temp\__init__.py -> C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\__init__.py
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Users_labuser_AppData_Local_Temp\CodeSetup-stable-df53daabb18cd157bdb08c7f01c34df936cf12f4.exe -> C:\Users\labuser\AppData\Local\Temp\2\vscode-stable-system-x64\CodeSetup-stable-df53daabb18cd157bdb08c7f01c34df936cf12f4.exe
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Users_labuser_AppData_Local_Temp\update-metadata.json -> C:\Users\labuser\AppData\Local\Temp\2\vscode-stable-system-x64\update-metadata.json
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\bb3a785178f443fda931098a5a9a306b.db.ses -> C:\Windows\Temp\bb3a785178f443fda931098a5a9a306b.db.ses
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\MpCmdRun.log -> C:\Windows\Temp\MpCmdRun.log
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\MpSigStub.log -> C:\Windows\Temp\MpSigStub.log
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\silconfig.log -> C:\Windows\Temp\silconfig.log
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\_env.cmd -> C:\Windows\Temp\_env.cmd
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\activitywatch-v0.13.2-windows-x86_64.zip -> C:\Windows\Temp\chocolatey\activitywatch\0.13.2\activitywatch-v0.13.2-windows-x86_64.zip
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\chocolatey.nuspec -> C:\Windows\Temp\chocolatey\chocoInstall\chocolatey.nuspec
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\chocolatey.zip -> C:\Windows\Temp\chocolatey\chocoInstall\chocolatey.zip
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\[Content_Types].xml -> C:\Windows\Temp\chocolatey\chocoInstall\[Content_Types].xml
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\5ad4dc75cc79452d8e7e738cb4a3286e.psmdcp -> C:\Windows\Temp\chocolatey\chocoInstall\package\services\metadata\core-properties\5ad4dc75cc79452d8e7e738cb4a3286e.psmdcp
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\chocolateyInstall.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall.ps1
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\chocolateysetup.psm1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateysetup.psm1
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\init.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\init.ps1
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\VERIFICATION.txt -> C:\Windows\Temp\chocolatey\chocoInstall\tools\VERIFICATION.txt
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\choco.exe -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\choco.exe.ignore -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe.ignore
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\choco.exe.manifest -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe.manifest
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\CREDITS.txt -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\CREDITS.txt
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\LICENSE.txt -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\LICENSE.txt
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\chocolateyInstaller.psm1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyInstaller.psm1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\chocolateyProfile.psm1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyProfile.psm1
